sample_index,generation_index,cluster_family_index,ne_cluster,te_cluster,t_idx,t_s
108,108,8,8,8,6,0.1
109,109,3,3,3,6,0.1
110,110,7,7,7,6,0.1
111,111,3,3,3,6,0.1
112,112,3,3,3,6,0.1
113,113,9,9,9,6,0.1
114,114,3,3,3,6,0.1
115,115,7,7,7,6,0.1
116,116,5,5,5,6,0.1
117,117,7,7,7,6,0.1
118,118,6,6,6,6,0.1
119,119,4,4,4,6,0.1
120,120,2,2,2,6,0.1
121,121,5,5,5,6,0.1
122,122,1,1,1,6,0.1
123,123,2,2,2,6,0.1
124,124,5,5,5,6,0.1
125,125,5,5,5,6,0.1
126,126,4,4,4,6,0.1
127,127,6,6,6,6,0.1
128,128,6,6,6,6,0.1
129,129,6,6,6,6,0.1
130,130,1,1,1,6,0.1
131,131,5,5,5,6,0.1
132,132,8,8,8,6,0.1
133,133,4,4,4,6,0.1
134,134,1,1,1,6,0.1
135,135,4,4,4,6,0.1
136,136,1,1,1,6,0.1
137,137,4,4,4,6,0.1
138,138,3,3,3,6,0.1
139,139,7,7,7,6,0.1
140,140,5,5,5,6,0.1
141,141,5,5,5,6,0.1
142,142,7,7,7,6,0.1
143,143,7,7,7,6,0.1
144,144,7,7,7,6,0.1
145,145,5,5,5,6,0.1
146,146,1,1,1,6,0.1
147,147,8,8,8,6,0.1
148,148,1,1,1,6,0.1
149,149,9,9,9,6,0.1
150,150,2,2,2,6,0.1
151,151,0,0,0,6,0.1
152,152,8,8,8,6,0.1
153,153,7,7,7,6,0.1
154,154,0,0,0,6,0.1
155,155,6,6,6,6,0.1
156,156,7,7,7,6,0.1
157,157,1,1,1,6,0.1
158,158,0,0,0,6,0.1
159,159,1,1,1,6,0.1
160,160,2,2,2,6,0.1
161,161,5,5,5,6,0.1
162,162,6,6,6,6,0.1
163,163,8,8,8,6,0.1
164,164,2,2,2,6,0.1
165,165,7,7,7,6,0.1
166,166,9,9,9,6,0.1
167,167,4,4,4,6,0.1
168,168,0,0,0,6,0.1
169,169,0,0,0,6,0.1
170,170,1,1,1,6,0.1
171,171,8,8,8,6,0.1
172,172,8,8,8,6,0.1
173,173,7,7,7,6,0.1
174,174,9,9,9,6,0.1
175,175,7,7,7,6,0.1
176,176,0,0,0,6,0.1
177,177,1,1,1,6,0.1
178,178,1,1,1,6,0.1
179,179,0,0,0,6,0.1
180,180,6,6,6,6,0.1
181,181,6,6,6,6,0.1
182,182,7,7,7,6,0.1
183,183,6,6,6,6,0.1
184,184,9,9,9,6,0.1
185,185,3,3,3,6,0.1
186,186,8,8,8,6,0.1
187,187,6,6,6,6,0.1
188,188,7,7,7,6,0.1
189,189,7,7,7,6,0.1
190,190,2,2,2,6,0.1
191,191,0,0,0,6,0.1
192,192,4,4,4,6,0.1
193,193,1,1,1,6,0.1
194,194,6,6,6,6,0.1
195,195,9,9,9,6,0.1
196,196,8,8,8,6,0.1
197,197,3,3,3,6,0.1
198,198,5,5,5,6,0.1
199,199,7,7,7,6,0.1
200,200,1,1,1,6,0.1
201,201,7,7,7,6,0.1
202,202,0,0,0,6,0.1
203,203,1,1,1,6,0.1
204,204,1,1,1,6,0.1
205,205,6,6,6,6,0.1
206,206,9,9,9,6,0.1
207,207,0,0,0,6,0.1
208,208,3,3,3,6,0.1
209,209,0,0,0,6,0.1
210,210,0,0,0,6,0.1
211,211,5,5,5,6,0.1
212,212,5,5,5,6,0.1
213,213,4,4,4,6,0.1
214,214,5,5,5,6,0.1
215,215,6,6,6,6,0.1
216,216,3,3,3,6,0.1
217,217,0,0,0,6,0.1
218,218,4,4,4,6,0.1
219,219,0,0,0,6,0.1
220,220,0,0,0,6,0.1
221,221,1,1,1,6,0.1
222,222,1,1,1,6,0.1
223,223,3,3,3,6,0.1
224,224,9,9,9,6,0.1
225,225,1,1,1,6,0.1
226,226,1,1,1,6,0.1
227,227,4,4,4,6,0.1
228,228,3,3,3,6,0.1
229,229,1,1,1,6,0.1
230,230,7,7,7,6,0.1
231,231,5,5,5,6,0.1
232,232,7,7,7,6,0.1
233,233,4,4,4,6,0.1
234,234,7,7,7,6,0.1
235,235,4,4,4,6,0.1
236,236,6,6,6,6,0.1
237,237,9,9,9,6,0.1
238,238,1,1,1,6,0.1
239,239,4,4,4,6,0.1
240,240,6,6,6,6,0.1
241,241,8,8,8,6,0.1
242,242,5,5,5,6,0.1
243,243,7,7,7,6,0.1
244,244,3,3,3,6,0.1
245,245,8,8,8,6,0.1
246,246,3,3,3,6,0.1
247,247,2,2,2,6,0.1
248,248,2,2,2,6,0.1
249,249,5,5,5,6,0.1
250,250,0,0,0,6,0.1
251,251,9,9,9,6,0.1
252,252,5,5,5,6,0.1
253,253,8,8,8,6,0.1
254,254,0,0,0,6,0.1
255,255,8,8,8,6,0.1
256,256,4,4,4,6,0.1
257,257,0,0,0,6,0.1
258,258,9,9,9,6,0.1
259,259,0,0,0,6,0.1
260,260,0,0,0,6,0.1
261,261,1,1,1,6,0.1
262,262,9,9,9,6,0.1
263,263,4,4,4,6,0.1
264,264,3,3,3,6,0.1
265,265,6,6,6,6,0.1
266,266,3,3,3,6,0.1
267,267,0,0,0,6,0.1
268,268,3,3,3,6,0.1
269,269,7,7,7,6,0.1
270,270,4,4,4,6,0.1
271,271,1,1,1,6,0.1
272,272,0,0,0,6,0.1
273,273,0,0,0,6,0.1
274,274,3,3,3,6,0.1
275,275,1,1,1,6,0.1
276,276,4,4,4,6,0.1
277,277,1,1,1,6,0.1
278,278,0,0,0,6,0.1
279,279,3,3,3,6,0.1
280,280,2,2,2,6,0.1
281,281,0,0,0,6,0.1
282,282,8,8,8,6,0.1
283,283,3,3,3,6,0.1
284,284,1,1,1,6,0.1
285,285,7,7,7,6,0.1
286,286,4,4,4,6,0.1
287,287,6,6,6,6,0.1
288,288,1,1,1,6,0.1
289,289,1,1,1,6,0.1
290,290,3,3,3,6,0.1
291,291,4,4,4,6,0.1
292,292,4,4,4,6,0.1
293,293,6,6,6,6,0.1
294,294,9,9,9,6,0.1
295,295,8,8,8,6,0.1
296,296,8,8,8,6,0.1
297,297,6,6,6,6,0.1
298,298,4,4,4,6,0.1
299,299,4,4,4,6,0.1
300,300,1,1,1,6,0.1
301,301,9,9,9,6,0.1
302,302,3,3,3,6,0.1
303,303,4,4,4,6,0.1
304,304,5,5,5,6,0.1
305,305,3,3,3,6,0.1
306,306,7,7,7,6,0.1
307,307,1,1,1,6,0.1
308,308,1,1,1,6,0.1
309,309,8,8,8,6,0.1
310,310,0,0,0,6,0.1
311,311,1,1,1,6,0.1
312,312,9,9,9,6,0.1
313,313,7,7,7,6,0.1
314,314,8,8,8,6,0.1
315,315,9,9,9,6,0.1
316,316,0,0,0,6,0.1
317,317,3,3,3,6,0.1
318,318,0,0,0,6,0.1
319,319,5,5,5,6,0.1
320,320,5,5,5,6,0.1
321,321,8,8,8,6,0.1
322,322,5,5,5,6,0.1
323,323,7,7,7,6,0.1
324,324,0,0,0,6,0.1
325,325,8,8,8,6,0.1
326,326,4,4,4,6,0.1
327,327,1,1,1,6,0.1
328,328,8,8,8,6,0.1
329,329,4,4,4,6,0.1
330,330,3,3,3,6,0.1
331,331,6,6,6,6,0.1
332,332,5,5,5,6,0.1
333,333,1,1,1,6,0.1
334,334,1,1,1,6,0.1
335,335,6,6,6,6,0.1
336,336,9,9,9,6,0.1
337,337,5,5,5,6,0.1
338,338,5,5,5,6,0.1
339,339,6,6,6,6,0.1
340,340,9,9,9,6,0.1
341,341,3,3,3,6,0.1
342,342,8,8,8,6,0.1
343,343,9,9,9,6,0.1
344,344,5,5,5,6,0.1
345,345,9,9,9,6,0.1
346,346,6,6,6,6,0.1
347,347,2,2,2,6,0.1
348,348,9,9,9,6,0.1
349,349,1,1,1,6,0.1
350,350,5,5,5,6,0.1
351,351,7,7,7,6,0.1
352,352,9,9,9,6,0.1
353,353,3,3,3,6,0.1
354,354,3,3,3,6,0.1
355,355,3,3,3,6,0.1
356,356,4,4,4,6,0.1
357,357,0,0,0,6,0.1
358,358,4,4,4,6,0.1
359,359,4,4,4,6,0.1
360,360,3,3,3,6,0.1
361,361,3,3,3,6,0.1
362,362,6,6,6,6,0.1
363,363,5,5,5,6,0.1
364,364,5,5,5,6,0.1
365,365,0,0,0,6,0.1
366,366,6,6,6,6,0.1
367,367,2,2,2,6,0.1
368,368,0,0,0,6,0.1
369,369,6,6,6,6,0.1
370,370,3,3,3,6,0.1
371,371,3,3,3,6,0.1
372,372,5,5,5,6,0.1
373,373,5,5,5,6,0.1
374,374,1,1,1,6,0.1
375,375,9,9,9,6,0.1
376,376,9,9,9,6,0.1
377,377,5,5,5,6,0.1
378,378,0,0,0,6,0.1
379,379,7,7,7,6,0.1
380,380,7,7,7,6,0.1
381,381,0,0,0,6,0.1
382,382,9,9,9,6,0.1
383,383,4,4,4,6,0.1
384,384,8,8,8,6,0.1
385,385,6,6,6,6,0.1
386,386,2,2,2,6,0.1
387,387,4,4,4,6,0.1
388,388,0,0,0,6,0.1
389,389,1,1,1,6,0.1
390,390,8,8,8,6,0.1
391,391,0,0,0,6,0.1
392,392,9,9,9,6,0.1
393,393,5,5,5,6,0.1
394,394,0,0,0,6,0.1
395,395,0,0,0,6,0.1
396,396,3,3,3,6,0.1
397,397,9,9,9,6,0.1
398,398,0,0,0,6,0.1
399,399,4,4,4,6,0.1
400,400,3,3,3,6,0.1
401,401,5,5,5,6,0.1
402,402,4,4,4,6,0.1
403,403,3,3,3,6,0.1
404,404,9,9,9,6,0.1
405,405,4,4,4,6,0.1
406,406,1,1,1,6,0.1
407,407,3,3,3,6,0.1
408,408,3,3,3,6,0.1
409,409,9,9,9,6,0.1
410,410,7,7,7,6,0.1
411,411,0,0,0,6,0.1
412,412,4,4,4,6,0.1
413,413,6,6,6,6,0.1
414,414,9,9,9,6,0.1
415,415,1,1,1,6,0.1
416,416,3,3,3,6,0.1
417,417,9,9,9,6,0.1
418,418,1,1,1,6,0.1
419,419,1,1,1,6,0.1
420,420,1,1,1,6,0.1
421,421,4,4,4,6,0.1
422,422,7,7,7,6,0.1
423,423,4,4,4,6,0.1
424,424,9,9,9,6,0.1
425,425,3,3,3,6,0.1
426,426,6,6,6,6,0.1
427,427,3,3,3,6,0.1
428,428,4,4,4,6,0.1
429,429,8,8,8,6,0.1
430,430,7,7,7,6,0.1
431,431,0,0,0,6,0.1
432,432,8,8,8,6,0.1
433,433,7,7,7,6,0.1
434,434,9,9,9,6,0.1
435,435,3,3,3,6,0.1
436,436,6,6,6,6,0.1
437,437,0,0,0,6,0.1
438,438,0,0,0,6,0.1
439,439,8,8,8,6,0.1
440,440,9,9,9,6,0.1
441,441,6,6,6,6,0.1
442,442,1,1,1,6,0.1
443,443,7,7,7,6,0.1
444,444,0,0,0,6,0.1
445,445,8,8,8,6,0.1
446,446,8,8,8,6,0.1
447,447,1,1,1,6,0.1
448,448,6,6,6,6,0.1
449,449,7,7,7,6,0.1
450,450,4,4,4,6,0.1
451,451,2,2,2,6,0.1
452,452,8,8,8,6,0.1
453,453,4,4,4,6,0.1
454,454,9,9,9,6,0.1
455,455,9,9,9,6,0.1
456,456,1,1,1,6,0.1
457,457,4,4,4,6,0.1
458,458,6,6,6,6,0.1
459,459,9,9,9,6,0.1
460,460,8,8,8,6,0.1
461,461,0,0,0,6,0.1
462,462,8,8,8,6,0.1
463,463,6,6,6,6,0.1
464,464,1,1,1,6,0.1
465,465,5,5,5,6,0.1
466,466,4,4,4,6,0.1
467,467,5,5,5,6,0.1
468,468,9,9,9,6,0.1
469,469,3,3,3,6,0.1
470,470,8,8,8,6,0.1
471,471,2,2,2,6,0.1
472,472,6,6,6,6,0.1
473,473,9,9,9,6,0.1
474,474,1,1,1,6,0.1
475,475,7,7,7,6,0.1
476,476,8,8,8,6,0.1
477,477,3,3,3,6,0.1
478,478,7,7,7,6,0.1
479,479,4,4,4,6,0.1
480,480,4,4,4,6,0.1
481,481,0,0,0,6,0.1
482,482,8,8,8,6,0.1
483,483,4,4,4,6,0.1
484,484,1,1,1,6,0.1
485,485,8,8,8,6,0.1
486,486,9,9,9,6,0.1
487,487,2,2,2,6,0.1
488,488,1,1,1,6,0.1
489,489,4,4,4,6,0.1
490,490,5,5,5,6,0.1
491,491,2,2,2,6,0.1
492,492,6,6,6,6,0.1
493,493,5,5,5,6,0.1
494,494,4,4,4,6,0.1
495,495,1,1,1,6,0.1
496,496,8,8,8,6,0.1
497,497,4,4,4,6,0.1
498,498,0,0,0,6,0.1
499,499,0,0,0,6,0.1
500,500,7,7,7,6,0.1
501,501,0,0,0,6,0.1
502,502,0,0,0,6,0.1
503,503,1,1,1,6,0.1
504,504,0,0,0,6,0.1
505,505,0,0,0,6,0.1
506,506,7,7,7,6,0.1
507,507,5,5,5,6,0.1
508,508,2,2,2,6,0.1
509,509,1,1,1,6,0.1
510,510,0,0,0,6,0.1
511,511,5,5,5,6,0.1
512,512,1,1,1,6,0.1
513,513,0,0,0,6,0.1
514,514,2,2,2,6,0.1
515,515,7,7,7,6,0.1
516,516,1,1,1,6,0.1
517,517,7,7,7,6,0.1
518,518,8,8,8,6,0.1
519,519,1,1,1,6,0.1
520,520,8,8,8,6,0.1
521,521,3,3,3,6,0.1
522,522,3,3,3,6,0.1
523,523,3,3,3,6,0.1
524,524,1,1,1,6,0.1
525,525,5,5,5,6,0.1
526,526,0,0,0,6,0.1
527,527,8,8,8,6,0.1
528,528,3,3,3,6,0.1
529,529,8,8,8,6,0.1
530,530,7,7,7,6,0.1
531,531,1,1,1,6,0.1
532,532,5,5,5,6,0.1
533,533,7,7,7,6,0.1
534,534,0,0,0,6,0.1
535,535,8,8,8,6,0.1
536,536,6,6,6,6,0.1
537,537,7,7,7,6,0.1
538,538,0,0,0,6,0.1
539,539,5,5,5,6,0.1
540,540,4,4,4,6,0.1
541,541,0,0,0,6,0.1
542,542,6,6,6,6,0.1
543,543,2,2,2,6,0.1
544,544,4,4,4,6,0.1
545,545,0,0,0,6,0.1
546,546,4,4,4,6,0.1
547,547,0,0,0,6,0.1
548,548,9,9,9,6,0.1
549,549,0,0,0,6,0.1
550,550,7,7,7,6,0.1
551,551,5,5,5,6,0.1
552,552,5,5,5,6,0.1
553,553,0,0,0,6,0.1
554,554,8,8,8,6,0.1
555,555,1,1,1,6,0.1
556,556,4,4,4,6,0.1
557,557,4,4,4,6,0.1
558,558,4,4,4,6,0.1
559,559,6,6,6,6,0.1
560,560,8,8,8,6,0.1
561,561,9,9,9,6,0.1
562,562,6,6,6,6,0.1
563,563,6,6,6,6,0.1
564,564,8,8,8,6,0.1
565,565,5,5,5,6,0.1
566,566,7,7,7,6,0.1
567,567,7,7,7,6,0.1
568,568,4,4,4,6,0.1
569,569,9,9,9,6,0.1
570,570,1,1,1,6,0.1
571,571,6,6,6,6,0.1
572,572,7,7,7,6,0.1
573,573,9,9,9,6,0.1
574,574,8,8,8,6,0.1
575,575,4,4,4,6,0.1
576,576,6,6,6,6,0.1
577,577,3,3,3,6,0.1
578,578,6,6,6,6,0.1
579,579,3,3,3,6,0.1
580,580,4,4,4,6,0.1
581,581,1,1,1,6,0.1
582,582,8,8,8,6,0.1
583,583,3,3,3,6,0.1
584,584,5,5,5,6,0.1
585,585,0,0,0,6,0.1
586,586,6,6,6,6,0.1
587,587,8,8,8,6,0.1
588,588,7,7,7,6,0.1
589,589,3,3,3,6,0.1
590,590,4,4,4,6,0.1
591,591,9,9,9,6,0.1
592,592,8,8,8,6,0.1
593,593,5,5,5,6,0.1
594,594,2,2,2,6,0.1
595,595,0,0,0,6,0.1
596,596,4,4,4,6,0.1
597,597,5,5,5,6,0.1
598,598,5,5,5,6,0.1
599,599,6,6,6,6,0.1
600,600,9,9,9,6,0.1
601,601,7,7,7,6,0.1
602,602,4,4,4,6,0.1
603,603,5,5,5,6,0.1
604,604,2,2,2,6,0.1
605,605,4,4,4,6,0.1
606,606,6,6,6,6,0.1
607,607,9,9,9,6,0.1
608,608,1,1,1,6,0.1
609,609,3,3,3,6,0.1
610,610,1,1,1,6,0.1
611,611,9,9,9,6,0.1
612,612,8,8,8,6,0.1
613,613,5,5,5,6,0.1
614,614,1,1,1,6,0.1
615,615,6,6,6,6,0.1
616,616,7,7,7,6,0.1
617,617,4,4,4,6,0.1
618,618,1,1,1,6,0.1
619,619,7,7,7,6,0.1
620,620,9,9,9,6,0.1
621,621,3,3,3,6,0.1
622,622,0,0,0,6,0.1
623,623,5,5,5,6,0.1
624,624,0,0,0,6,0.1
625,625,3,3,3,6,0.1
626,626,9,9,9,6,0.1
627,627,8,8,8,6,0.1
628,628,2,2,2,6,0.1
629,629,7,7,7,6,0.1
630,630,7,7,7,6,0.1
631,631,0,0,0,6,0.1
632,632,8,8,8,6,0.1
633,633,4,4,4,6,0.1
634,634,2,2,2,6,0.1
635,635,9,9,9,6,0.1
636,636,5,5,5,6,0.1
637,637,5,5,5,6,0.1
638,638,6,6,6,6,0.1
639,639,8,8,8,6,0.1
640,640,6,6,6,6,0.1
641,641,4,4,4,6,0.1
642,642,7,7,7,6,0.1
643,643,4,4,4,6,0.1
644,644,8,8,8,6,0.1
645,645,1,1,1,6,0.1
646,646,4,4,4,6,0.1
647,647,3,3,3,6,0.1
648,648,5,5,5,6,0.1
649,649,3,3,3,6,0.1
650,650,1,1,1,6,0.1
651,651,3,3,3,6,0.1
652,652,1,1,1,6,0.1
653,653,3,3,3,6,0.1
654,654,0,0,0,6,0.1
655,655,5,5,5,6,0.1
656,656,4,4,4,6,0.1
657,657,5,5,5,6,0.1
658,658,7,7,7,6,0.1
659,659,0,0,0,6,0.1
660,660,0,0,0,6,0.1
661,661,2,2,2,6,0.1
662,662,7,7,7,6,0.1
663,663,1,1,1,6,0.1
664,664,3,3,3,6,0.1
665,665,2,2,2,6,0.1
666,666,1,1,1,6,0.1
667,667,4,4,4,6,0.1
668,668,8,8,8,6,0.1
669,669,1,1,1,6,0.1
670,670,6,6,6,6,0.1
671,671,4,4,4,6,0.1
672,672,7,7,7,6,0.1
673,673,1,1,1,6,0.1
674,674,0,0,0,6,0.1
675,675,0,0,0,6,0.1
676,676,5,5,5,6,0.1
677,677,4,4,4,6,0.1
678,678,5,5,5,6,0.1
679,679,9,9,9,6,0.1
680,680,3,3,3,6,0.1
681,681,9,9,9,6,0.1
682,682,5,5,5,6,0.1
683,683,4,4,4,6,0.1
684,684,8,8,8,6,0.1
685,685,4,4,4,6,0.1
686,686,1,1,1,6,0.1
687,687,8,8,8,6,0.1
688,688,1,1,1,6,0.1
689,689,9,9,9,6,0.1
690,690,0,0,0,6,0.1
691,691,3,3,3,6,0.1
692,692,3,3,3,6,0.1
693,693,5,5,5,6,0.1
694,694,9,9,9,6,0.1
695,695,1,1,1,6,0.1
696,696,1,1,1,6,0.1
697,697,7,7,7,6,0.1
698,698,3,3,3,6,0.1
699,699,7,7,7,6,0.1
700,700,1,1,1,6,0.1
701,701,4,4,4,6,0.1
702,702,9,9,9,6,0.1
703,703,5,5,5,6,0.1
704,704,1,1,1,6,0.1
705,705,3,3,3,6,0.1
706,706,1,1,1,6,0.1
707,707,3,3,3,6,0.1
708,708,3,3,3,6,0.1
709,709,7,7,7,6,0.1
710,710,8,8,8,6,0.1
711,711,4,4,4,6,0.1
712,712,3,3,3,6,0.1
713,713,0,0,0,6,0.1
714,714,2,2,2,6,0.1
715,715,2,2,2,6,0.1
716,716,3,3,3,6,0.1
717,717,5,5,5,6,0.1
718,718,6,6,6,6,0.1
719,719,6,6,6,6,0.1
720,720,5,5,5,6,0.1
721,721,0,0,0,6,0.1
722,722,7,7,7,6,0.1
723,723,5,5,5,6,0.1
724,724,3,3,3,6,0.1
725,725,1,1,1,6,0.1
726,726,3,3,3,6,0.1
727,727,7,7,7,6,0.1
728,728,8,8,8,6,0.1
729,729,2,2,2,6,0.1
730,730,3,3,3,6,0.1
731,731,9,9,9,6,0.1
732,732,6,6,6,6,0.1
733,733,4,4,4,6,0.1
734,734,0,0,0,6,0.1
735,735,4,4,4,6,0.1
736,736,7,7,7,6,0.1
737,737,4,4,4,6,0.1
738,738,9,9,9,6,0.1
739,739,3,3,3,6,0.1
740,740,9,9,9,6,0.1
741,741,9,9,9,6,0.1
742,742,9,9,9,6,0.1
743,743,6,6,6,6,0.1
744,744,8,8,8,6,0.1
745,745,1,1,1,6,0.1
746,746,6,6,6,6,0.1
747,747,2,2,2,6,0.1
748,748,5,5,5,6,0.1
749,749,4,4,4,6,0.1
750,750,3,3,3,6,0.1
751,751,1,1,1,6,0.1
752,752,0,0,0,6,0.1
753,753,8,8,8,6,0.1
754,754,0,0,0,6,0.1
755,755,8,8,8,6,0.1
756,756,6,6,6,6,0.1
757,757,5,5,5,6,0.1
758,758,8,8,8,6,0.1
759,759,5,5,5,6,0.1
760,760,6,6,6,6,0.1
761,761,1,1,1,6,0.1
762,762,5,5,5,6,0.1
763,763,3,3,3,6,0.1
764,764,7,7,7,6,0.1
765,765,4,4,4,6,0.1
766,766,1,1,1,6,0.1
767,767,4,4,4,6,0.1
768,768,5,5,5,6,0.1
769,769,9,9,9,6,0.1
770,770,3,3,3,6,0.1
771,771,2,2,2,6,0.1
772,772,4,4,4,6,0.1
773,773,6,6,6,6,0.1
774,774,4,4,4,6,0.1
775,775,5,5,5,6,0.1
776,776,9,9,9,6,0.1
777,777,7,7,7,6,0.1
778,778,5,5,5,6,0.1
779,779,6,6,6,6,0.1
780,780,4,4,4,6,0.1
781,781,1,1,1,6,0.1
782,782,5,5,5,6,0.1
783,783,2,2,2,6,0.1
784,784,1,1,1,6,0.1
785,785,6,6,6,6,0.1
786,786,2,2,2,6,0.1
787,787,1,1,1,6,0.1
788,788,5,5,5,6,0.1
789,789,5,5,5,6,0.1
790,790,6,6,6,6,0.1
791,791,5,5,5,6,0.1
792,792,2,2,2,6,0.1
793,793,0,0,0,6,0.1
794,794,5,5,5,6,0.1
795,795,7,7,7,6,0.1
796,796,3,3,3,6,0.1
797,797,3,3,3,6,0.1
798,798,6,6,6,6,0.1
799,799,2,2,2,6,0.1
800,800,6,6,6,6,0.1
801,801,9,9,9,6,0.1
802,802,8,8,8,6,0.1
803,803,6,6,6,6,0.1
804,804,3,3,3,6,0.1
805,805,5,5,5,6,0.1
806,806,5,5,5,6,0.1
807,807,8,8,8,6,0.1
808,808,5,5,5,6,0.1
809,809,6,6,6,6,0.1
810,810,5,5,5,6,0.1
811,811,3,3,3,6,0.1
812,812,4,4,4,6,0.1
813,813,0,0,0,6,0.1
814,814,8,8,8,6,0.1
815,815,8,8,8,6,0.1
816,816,1,1,1,6,0.1
817,817,9,9,9,6,0.1
818,818,6,6,6,6,0.1
819,819,9,9,9,6,0.1
820,820,8,8,8,6,0.1
821,821,0,0,0,6,0.1
822,822,4,4,4,6,0.1
823,823,4,4,4,6,0.1
824,824,9,9,9,6,0.1
825,825,0,0,0,6,0.1
826,826,8,8,8,6,0.1
827,827,7,7,7,6,0.1
828,828,1,1,1,6,0.1
829,829,9,9,9,6,0.1
830,830,7,7,7,6,0.1
831,831,0,0,0,6,0.1
832,832,9,9,9,6,0.1
833,833,5,5,5,6,0.1
834,834,0,0,0,6,0.1
835,835,2,2,2,6,0.1
836,836,5,5,5,6,0.1
837,837,3,3,3,6,0.1
838,838,7,7,7,6,0.1
839,839,8,8,8,6,0.1
840,840,4,4,4,6,0.1
841,841,1,1,1,6,0.1
842,842,1,1,1,6,0.1
843,843,7,7,7,6,0.1
844,844,1,1,1,6,0.1
845,845,2,2,2,6,0.1
846,846,5,5,5,6,0.1
847,847,6,6,6,6,0.1
848,848,1,1,1,6,0.1
849,849,8,8,8,6,0.1
850,850,5,5,5,6,0.1
851,851,3,3,3,6,0.1
852,852,9,9,9,6,0.1
853,853,4,4,4,6,0.1
854,854,1,1,1,6,0.1
855,855,5,5,5,6,0.1
856,856,5,5,5,6,0.1
857,857,4,4,4,6,0.1
858,858,3,3,3,6,0.1
859,859,6,6,6,6,0.1
860,860,8,8,8,6,0.1
861,861,9,9,9,6,0.1
862,862,4,4,4,6,0.1
863,863,2,2,2,6,0.1
864,864,0,0,0,6,0.1
865,865,4,4,4,6,0.1
866,866,5,5,5,6,0.1
867,867,4,4,4,6,0.1
868,868,4,4,4,6,0.1
869,869,7,7,7,6,0.1
