expanded_index,source_sample_index,equilibrium_index,equilibrium_label,pulse,t_s
218,18,0,p11419_20to160ms,11419,0.08002861589193344
219,18,0,p11419_20to160ms,11419,0.10286123305559158
220,18,0,p11419_20to160ms,11419,0.12732474505901337
221,18,0,p11419_20to160ms,11419,0.1583118736743927
222,18,1,p14606_15to80ms,14606,0.015336195006966591
223,18,1,p14606_15to80ms,14606,0.027839770540595055
224,18,1,p14606_15to80ms,14606,0.040886979550123215
225,18,1,p14606_15to80ms,14606,0.05339055880904198
226,18,1,p14606_15to80ms,14606,0.06643776595592499
227,18,1,p14606_15to80ms,14606,0.0794849768280983
228,19,0,p11419_20to160ms,11419,0.020228898152709007
229,19,0,p11419_20to160ms,11419,0.050672389566898346
230,19,0,p11419_20to160ms,11419,0.08002861589193344
231,19,0,p11419_20to160ms,11419,0.10286123305559158
232,19,0,p11419_20to160ms,11419,0.12732474505901337
233,19,0,p11419_20to160ms,11419,0.1583118736743927
234,19,1,p14606_15to80ms,14606,0.015336195006966591
235,19,1,p14606_15to80ms,14606,0.027839770540595055
236,19,1,p14606_15to80ms,14606,0.040886979550123215
237,19,1,p14606_15to80ms,14606,0.05339055880904198
238,19,1,p14606_15to80ms,14606,0.06643776595592499
239,19,1,p14606_15to80ms,14606,0.0794849768280983
240,20,0,p11419_20to160ms,11419,0.020228898152709007
241,20,0,p11419_20to160ms,11419,0.050672389566898346
242,20,0,p11419_20to160ms,11419,0.08002861589193344
243,20,0,p11419_20to160ms,11419,0.10286123305559158
244,20,0,p11419_20to160ms,11419,0.12732474505901337
245,20,0,p11419_20to160ms,11419,0.1583118736743927
246,20,1,p14606_15to80ms,14606,0.015336195006966591
247,20,1,p14606_15to80ms,14606,0.027839770540595055
248,20,1,p14606_15to80ms,14606,0.040886979550123215
249,20,1,p14606_15to80ms,14606,0.05339055880904198
250,20,1,p14606_15to80ms,14606,0.06643776595592499
251,20,1,p14606_15to80ms,14606,0.0794849768280983
252,21,0,p11419_20to160ms,11419,0.020228898152709007
253,21,0,p11419_20to160ms,11419,0.050672389566898346
254,21,0,p11419_20to160ms,11419,0.08002861589193344
255,21,0,p11419_20to160ms,11419,0.10286123305559158
256,21,0,p11419_20to160ms,11419,0.12732474505901337
257,21,0,p11419_20to160ms,11419,0.1583118736743927
258,21,1,p14606_15to80ms,14606,0.015336195006966591
259,21,1,p14606_15to80ms,14606,0.027839770540595055
260,21,1,p14606_15to80ms,14606,0.040886979550123215
261,21,1,p14606_15to80ms,14606,0.05339055880904198
262,21,1,p14606_15to80ms,14606,0.06643776595592499
263,21,1,p14606_15to80ms,14606,0.0794849768280983
264,22,0,p11419_20to160ms,11419,0.020228898152709007
265,22,0,p11419_20to160ms,11419,0.050672389566898346
266,22,0,p11419_20to160ms,11419,0.08002861589193344
267,22,0,p11419_20to160ms,11419,0.10286123305559158
268,22,0,p11419_20to160ms,11419,0.12732474505901337
269,22,0,p11419_20to160ms,11419,0.1583118736743927
270,22,1,p14606_15to80ms,14606,0.015336195006966591
271,22,1,p14606_15to80ms,14606,0.027839770540595055
272,22,1,p14606_15to80ms,14606,0.040886979550123215
273,22,1,p14606_15to80ms,14606,0.05339055880904198
274,22,1,p14606_15to80ms,14606,0.06643776595592499
275,22,1,p14606_15to80ms,14606,0.0794849768280983
276,23,0,p11419_20to160ms,11419,0.020228898152709007
277,23,0,p11419_20to160ms,11419,0.050672389566898346
278,23,0,p11419_20to160ms,11419,0.08002861589193344
279,23,0,p11419_20to160ms,11419,0.10286123305559158
280,23,0,p11419_20to160ms,11419,0.12732474505901337
281,23,0,p11419_20to160ms,11419,0.1583118736743927
282,23,1,p14606_15to80ms,14606,0.015336195006966591
283,23,1,p14606_15to80ms,14606,0.027839770540595055
284,23,1,p14606_15to80ms,14606,0.040886979550123215
285,23,1,p14606_15to80ms,14606,0.05339055880904198
286,23,1,p14606_15to80ms,14606,0.06643776595592499
287,23,1,p14606_15to80ms,14606,0.0794849768280983
288,24,0,p11419_20to160ms,11419,0.020228898152709007
289,24,0,p11419_20to160ms,11419,0.050672389566898346
290,24,0,p11419_20to160ms,11419,0.08002861589193344
291,24,0,p11419_20to160ms,11419,0.10286123305559158
292,24,0,p11419_20to160ms,11419,0.12732474505901337
293,24,0,p11419_20to160ms,11419,0.1583118736743927
294,24,1,p14606_15to80ms,14606,0.015336195006966591
295,24,1,p14606_15to80ms,14606,0.027839770540595055
296,24,1,p14606_15to80ms,14606,0.040886979550123215
297,24,1,p14606_15to80ms,14606,0.05339055880904198
298,24,1,p14606_15to80ms,14606,0.06643776595592499
299,24,1,p14606_15to80ms,14606,0.0794849768280983
300,25,0,p11419_20to160ms,11419,0.020228898152709007
301,25,0,p11419_20to160ms,11419,0.050672389566898346
302,25,0,p11419_20to160ms,11419,0.08002861589193344
303,25,0,p11419_20to160ms,11419,0.10286123305559158
304,25,0,p11419_20to160ms,11419,0.12732474505901337
305,25,0,p11419_20to160ms,11419,0.1583118736743927
306,25,1,p14606_15to80ms,14606,0.015336195006966591
307,25,1,p14606_15to80ms,14606,0.027839770540595055
308,25,1,p14606_15to80ms,14606,0.040886979550123215
309,25,1,p14606_15to80ms,14606,0.05339055880904198
310,25,1,p14606_15to80ms,14606,0.06643776595592499
311,25,1,p14606_15to80ms,14606,0.0794849768280983
312,26,0,p11419_20to160ms,11419,0.020228898152709007
313,26,0,p11419_20to160ms,11419,0.050672389566898346
314,26,0,p11419_20to160ms,11419,0.08002861589193344
315,26,0,p11419_20to160ms,11419,0.10286123305559158
316,26,0,p11419_20to160ms,11419,0.12732474505901337
317,26,0,p11419_20to160ms,11419,0.1583118736743927
318,26,1,p14606_15to80ms,14606,0.015336195006966591
319,26,1,p14606_15to80ms,14606,0.027839770540595055
320,26,1,p14606_15to80ms,14606,0.040886979550123215
321,26,1,p14606_15to80ms,14606,0.05339055880904198
322,26,1,p14606_15to80ms,14606,0.06643776595592499
323,26,1,p14606_15to80ms,14606,0.0794849768280983
324,27,0,p11419_20to160ms,11419,0.020228898152709007
325,27,0,p11419_20to160ms,11419,0.050672389566898346
326,27,0,p11419_20to160ms,11419,0.08002861589193344
327,27,0,p11419_20to160ms,11419,0.10286123305559158
328,27,0,p11419_20to160ms,11419,0.12732474505901337
329,27,0,p11419_20to160ms,11419,0.1583118736743927
330,27,1,p14606_15to80ms,14606,0.015336195006966591
331,27,1,p14606_15to80ms,14606,0.027839770540595055
332,27,1,p14606_15to80ms,14606,0.040886979550123215
333,27,1,p14606_15to80ms,14606,0.05339055880904198
334,27,1,p14606_15to80ms,14606,0.06643776595592499
335,27,1,p14606_15to80ms,14606,0.0794849768280983
336,28,0,p11419_20to160ms,11419,0.020228898152709007
337,28,0,p11419_20to160ms,11419,0.050672389566898346
338,28,0,p11419_20to160ms,11419,0.08002861589193344
339,28,0,p11419_20to160ms,11419,0.10286123305559158
340,28,0,p11419_20to160ms,11419,0.12732474505901337
341,28,0,p11419_20to160ms,11419,0.1583118736743927
342,28,1,p14606_15to80ms,14606,0.015336195006966591
343,28,1,p14606_15to80ms,14606,0.027839770540595055
344,28,1,p14606_15to80ms,14606,0.040886979550123215
345,28,1,p14606_15to80ms,14606,0.05339055880904198
346,28,1,p14606_15to80ms,14606,0.06643776595592499
347,28,1,p14606_15to80ms,14606,0.0794849768280983
348,29,0,p11419_20to160ms,11419,0.020228898152709007
349,29,0,p11419_20to160ms,11419,0.050672389566898346
350,29,0,p11419_20to160ms,11419,0.08002861589193344
351,29,0,p11419_20to160ms,11419,0.10286123305559158
352,29,0,p11419_20to160ms,11419,0.12732474505901337
353,29,0,p11419_20to160ms,11419,0.1583118736743927
354,29,1,p14606_15to80ms,14606,0.015336195006966591
355,29,1,p14606_15to80ms,14606,0.027839770540595055
356,29,1,p14606_15to80ms,14606,0.040886979550123215
357,29,1,p14606_15to80ms,14606,0.05339055880904198
358,29,1,p14606_15to80ms,14606,0.06643776595592499
359,29,1,p14606_15to80ms,14606,0.0794849768280983
360,30,0,p11419_20to160ms,11419,0.020228898152709007
361,30,0,p11419_20to160ms,11419,0.050672389566898346
362,30,0,p11419_20to160ms,11419,0.08002861589193344
363,30,0,p11419_20to160ms,11419,0.10286123305559158
364,30,0,p11419_20to160ms,11419,0.12732474505901337
365,30,0,p11419_20to160ms,11419,0.1583118736743927
366,30,1,p14606_15to80ms,14606,0.015336195006966591
367,30,1,p14606_15to80ms,14606,0.027839770540595055
368,30,1,p14606_15to80ms,14606,0.040886979550123215
369,30,1,p14606_15to80ms,14606,0.05339055880904198
370,30,1,p14606_15to80ms,14606,0.06643776595592499
371,30,1,p14606_15to80ms,14606,0.0794849768280983
372,31,0,p11419_20to160ms,11419,0.020228898152709007
373,31,0,p11419_20to160ms,11419,0.050672389566898346
374,31,0,p11419_20to160ms,11419,0.08002861589193344
375,31,0,p11419_20to160ms,11419,0.10286123305559158
376,31,0,p11419_20to160ms,11419,0.12732474505901337
377,31,0,p11419_20to160ms,11419,0.1583118736743927
378,31,1,p14606_15to80ms,14606,0.015336195006966591
379,31,1,p14606_15to80ms,14606,0.027839770540595055
380,31,1,p14606_15to80ms,14606,0.040886979550123215
381,31,1,p14606_15to80ms,14606,0.05339055880904198
382,31,1,p14606_15to80ms,14606,0.06643776595592499
383,31,1,p14606_15to80ms,14606,0.0794849768280983
384,32,0,p11419_20to160ms,11419,0.020228898152709007
385,32,0,p11419_20to160ms,11419,0.050672389566898346
386,32,0,p11419_20to160ms,11419,0.08002861589193344
387,32,0,p11419_20to160ms,11419,0.10286123305559158
388,32,0,p11419_20to160ms,11419,0.12732474505901337
389,32,0,p11419_20to160ms,11419,0.1583118736743927
390,32,1,p14606_15to80ms,14606,0.015336195006966591
391,32,1,p14606_15to80ms,14606,0.027839770540595055
392,32,1,p14606_15to80ms,14606,0.040886979550123215
393,32,1,p14606_15to80ms,14606,0.05339055880904198
394,32,1,p14606_15to80ms,14606,0.06643776595592499
395,32,1,p14606_15to80ms,14606,0.0794849768280983
396,33,0,p11419_20to160ms,11419,0.020228898152709007
397,33,0,p11419_20to160ms,11419,0.050672389566898346
398,33,0,p11419_20to160ms,11419,0.08002861589193344
399,33,0,p11419_20to160ms,11419,0.10286123305559158
400,33,0,p11419_20to160ms,11419,0.12732474505901337
401,33,0,p11419_20to160ms,11419,0.1583118736743927
402,33,1,p14606_15to80ms,14606,0.015336195006966591
403,33,1,p14606_15to80ms,14606,0.027839770540595055
404,33,1,p14606_15to80ms,14606,0.040886979550123215
405,33,1,p14606_15to80ms,14606,0.05339055880904198
406,33,1,p14606_15to80ms,14606,0.06643776595592499
407,33,1,p14606_15to80ms,14606,0.0794849768280983
408,34,0,p11419_20to160ms,11419,0.020228898152709007
409,34,0,p11419_20to160ms,11419,0.050672389566898346
410,34,0,p11419_20to160ms,11419,0.08002861589193344
411,34,0,p11419_20to160ms,11419,0.10286123305559158
412,34,0,p11419_20to160ms,11419,0.12732474505901337
413,34,0,p11419_20to160ms,11419,0.1583118736743927
414,34,1,p14606_15to80ms,14606,0.015336195006966591
415,34,1,p14606_15to80ms,14606,0.027839770540595055
416,34,1,p14606_15to80ms,14606,0.040886979550123215
417,34,1,p14606_15to80ms,14606,0.05339055880904198
418,34,1,p14606_15to80ms,14606,0.06643776595592499
419,34,1,p14606_15to80ms,14606,0.0794849768280983
420,35,0,p11419_20to160ms,11419,0.020228898152709007
421,35,0,p11419_20to160ms,11419,0.050672389566898346
422,35,0,p11419_20to160ms,11419,0.08002861589193344
423,35,0,p11419_20to160ms,11419,0.10286123305559158
424,35,0,p11419_20to160ms,11419,0.12732474505901337
425,35,0,p11419_20to160ms,11419,0.1583118736743927
426,35,1,p14606_15to80ms,14606,0.015336195006966591
427,35,1,p14606_15to80ms,14606,0.027839770540595055
428,35,1,p14606_15to80ms,14606,0.040886979550123215
429,35,1,p14606_15to80ms,14606,0.05339055880904198
430,35,1,p14606_15to80ms,14606,0.06643776595592499
431,35,1,p14606_15to80ms,14606,0.0794849768280983
432,36,0,p11419_20to160ms,11419,0.020228898152709007
433,36,0,p11419_20to160ms,11419,0.050672389566898346
434,36,0,p11419_20to160ms,11419,0.08002861589193344
435,36,0,p11419_20to160ms,11419,0.10286123305559158
436,36,0,p11419_20to160ms,11419,0.12732474505901337
437,36,0,p11419_20to160ms,11419,0.1583118736743927
438,36,1,p14606_15to80ms,14606,0.015336195006966591
439,36,1,p14606_15to80ms,14606,0.027839770540595055
440,36,1,p14606_15to80ms,14606,0.040886979550123215
441,36,1,p14606_15to80ms,14606,0.05339055880904198
442,36,1,p14606_15to80ms,14606,0.06643776595592499
443,36,1,p14606_15to80ms,14606,0.0794849768280983
444,37,0,p11419_20to160ms,11419,0.020228898152709007
445,37,0,p11419_20to160ms,11419,0.050672389566898346
446,37,0,p11419_20to160ms,11419,0.08002861589193344
447,37,0,p11419_20to160ms,11419,0.10286123305559158
448,37,0,p11419_20to160ms,11419,0.12732474505901337
449,37,0,p11419_20to160ms,11419,0.1583118736743927
450,37,1,p14606_15to80ms,14606,0.015336195006966591
451,37,1,p14606_15to80ms,14606,0.027839770540595055
452,37,1,p14606_15to80ms,14606,0.040886979550123215
453,37,1,p14606_15to80ms,14606,0.05339055880904198
454,37,1,p14606_15to80ms,14606,0.06643776595592499
455,37,1,p14606_15to80ms,14606,0.0794849768280983
456,38,0,p11419_20to160ms,11419,0.020228898152709007
457,38,0,p11419_20to160ms,11419,0.050672389566898346
458,38,0,p11419_20to160ms,11419,0.08002861589193344
459,38,0,p11419_20to160ms,11419,0.10286123305559158
460,38,0,p11419_20to160ms,11419,0.12732474505901337
461,38,0,p11419_20to160ms,11419,0.1583118736743927
462,38,1,p14606_15to80ms,14606,0.015336195006966591
463,38,1,p14606_15to80ms,14606,0.027839770540595055
464,38,1,p14606_15to80ms,14606,0.040886979550123215
465,38,1,p14606_15to80ms,14606,0.05339055880904198
466,38,1,p14606_15to80ms,14606,0.06643776595592499
467,38,1,p14606_15to80ms,14606,0.0794849768280983
468,39,0,p11419_20to160ms,11419,0.020228898152709007
469,39,0,p11419_20to160ms,11419,0.050672389566898346
470,39,0,p11419_20to160ms,11419,0.08002861589193344
471,39,0,p11419_20to160ms,11419,0.10286123305559158
472,39,0,p11419_20to160ms,11419,0.12732474505901337
473,39,0,p11419_20to160ms,11419,0.1583118736743927
474,39,1,p14606_15to80ms,14606,0.015336195006966591
475,39,1,p14606_15to80ms,14606,0.027839770540595055
476,39,1,p14606_15to80ms,14606,0.040886979550123215
477,39,1,p14606_15to80ms,14606,0.05339055880904198
478,39,1,p14606_15to80ms,14606,0.06643776595592499
479,39,1,p14606_15to80ms,14606,0.0794849768280983
480,40,0,p11419_20to160ms,11419,0.020228898152709007
481,40,0,p11419_20to160ms,11419,0.050672389566898346
482,40,0,p11419_20to160ms,11419,0.08002861589193344
483,40,0,p11419_20to160ms,11419,0.10286123305559158
484,40,0,p11419_20to160ms,11419,0.12732474505901337
485,40,0,p11419_20to160ms,11419,0.1583118736743927
486,40,1,p14606_15to80ms,14606,0.015336195006966591
487,40,1,p14606_15to80ms,14606,0.027839770540595055
488,40,1,p14606_15to80ms,14606,0.040886979550123215
489,40,1,p14606_15to80ms,14606,0.05339055880904198
490,40,1,p14606_15to80ms,14606,0.06643776595592499
491,40,1,p14606_15to80ms,14606,0.0794849768280983
492,41,0,p11419_20to160ms,11419,0.020228898152709007
493,41,0,p11419_20to160ms,11419,0.050672389566898346
494,41,0,p11419_20to160ms,11419,0.08002861589193344
495,41,0,p11419_20to160ms,11419,0.10286123305559158
496,41,0,p11419_20to160ms,11419,0.12732474505901337
